니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
19,26325,1170,176,147,151,168,171,147,32175,780,215,180,185,206,209,179,29250,975,195,164,168,187,190,163,,22,560,25049,1114,167,30615,742,205,27832,928,186,,,,,,,,,,,,,,,,,
20,27000,1200,180,151,155,173,176,151,33000,800,220,185,189,211,215,184,30000,1000,200,168,172,192,195,167,,23,580,26487,1177,176,32373,785,216,29430,981,196,,,,,,,,,,,,,,,,,
21,28350,1260,189,159,163,181,184,158,34650,840,231,194,199,222,225,193,31500,1050,210,176,181,202,205,176,,24,590,27938,1242,186,34146,828,228,31042,1035,207,,,,,,,,,,,,,,,,,
22,29025,1290,194,163,167,186,189,162,35475,860,237,199,204,227,231,198,32250,1075,215,181,185,206,210,180,,25,610,29402,1307,196,35936,871,240,32669,1089,218,,,,,,,,,,,,,,,,,
23,29700,1320,198,166,171,190,193,166,36300,880,242,203,208,232,236,202,33000,1100,220,185,189,211,215,184,,26,630,30878,1373,206,37740,915,252,34309,1144,229,,,,,,,,,,,,,,,,,
24,30375,1350,203,170,174,194,198,169,37125,900,248,208,213,238,241,207,33750,1125,225,189,194,216,219,188,,27,650,32366,1439,216,39558,959,264,35962,1199,240,,,,,,,,,,,,,,,,,
25,31050,1380,207,174,178,199,202,173,37950,920,253,212,218,243,247,212,34500,1150,230,193,198,221,224,192,,28,670,33865,1505,226,41391,1003,276,37628,1254,251,,,,,,,,,,,,,,,,,
26,31725,1410,212,178,182,203,206,177,38775,940,259,217,223,248,252,216,35250,1175,235,197,202,226,229,197,,29,690,35376,1572,236,43238,1048,288,39307,1310,262,,,,,,,,,,,,,,,,,
27,32400,1440,216,181,186,207,211,181,39600,960,264,222,227,253,258,221,36000,1200,240,202,207,230,234,201,,30,710,36897,1640,246,45097,1094,300,40997,1367,273,,,,,,,,,,,,,,,,,
28,33075,1470,221,185,190,212,215,184,40425,980,270,226,232,259,263,225,36750,1225,245,206,211,235,239,205,,31,730,38430,1708,257,46970,1138,314,42700,1423,285,,,,,,,,,,,,,,,,,
29,33750,1500,225,189,194,216,219,188,41250,1000,275,231,237,264,268,230,37500,1250,250,210,215,240,244,209,,32,750,39972,1776,266,48854,1184,326,44413,1480,296,,,,,,,,,,,,,,,,,
30,34425,1530,230,193,198,220,224,192,42075,1020,281,236,242,269,274,235,38250,1275,255,214,220,245,249,213,,33,770,41524,1846,277,50752,1230,339,46138,1538,308,,,,,,,,,,,,,,,,,
31,35100,1560,234,197,202,225,228,196,42900,1040,286,240,246,275,279,239,39000,1300,260,218,224,250,254,218,,34,800,43086,1915,287,52660,1277,351,47873,1596,319,,,,,,,,,,,,,,,,,
32,35775,1590,239,200,205,229,233,200,43725,1060,292,245,251,280,284,244,39750,1325,265,223,228,254,259,222,,35,820,44658,1985,298,54582,1323,364,49620,1654,331,,,,,,,,,,,,,,,,,
33,36450,1620,243,204,209,233,237,203,44550,1080,297,249,256,285,290,248,40500,1350,270,227,233,259,263,226,,36,840,46238,2056,309,56514,1370,377,51376,1713,343,,,,,,,,,,,,,,,,,
34,37125,1650,248,208,213,238,241,207,45375,1100,303,254,260,290,295,253,41250,1375,275,231,237,264,268,230,,37,870,47828,2125,319,58456,1417,389,53142,1771,354,,,,,,,,,,,,,,,,,
35,37800,1680,252,212,217,242,246,211,46200,1120,308,259,265,296,300,258,42000,1400,280,235,241,269,273,234,,38,900,49427,2197,329,60411,1465,403,54919,1831,366,,,,,,,,,,,,,,,,,
36,38475,1710,257,215,221,246,250,215,47025,1140,314,263,270,301,306,262,42750,1425,285,239,245,274,278,238,,39,920,51035,2268,340,62376,1512,416,56705,1890,378,,,,,,,,,,,,,,,,,
37,39150,1740,261,219,225,251,255,218,47850,1160,319,268,275,306,311,267,43500,1450,290,244,250,278,283,243,,40,950,52650,2340,351,64350,1560,429,58500,1950,390,,,,,,,,,,,,,,,,,
38,39825,1770,266,223,229,255,259,222,48675,1180,325,273,279,312,317,271,44250,1475,295,248,254,283,288,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40500,1800,270,227,233,259,263,226,49500,1200,330,277,284,317,322,276,45000,1500,300,252,258,288,293,251,,레벨,HP,,ATK,,DEF,,스킬1(R등급부터),,,,,,,,,,,,,,스킬2(SR등급),,,,,,
40,41175,1830,275,231,236,264,268,230,50325,1220,336,282,289,322,327,281,45750,1525,305,256,263,293,298,255,,,,,,,,,1스킬,,,,,,,,,,,,2스킬,,,,,,,,
41,43234,1921,288,242,248,276,281,241,52842,1281,352,296,303,338,343,294,48038,1601,320,269,276,307,312,268,,,R,SR,R,SR,R,SR,AR,,SR,,SMG,,SG,,RL,,MG,,,,1,2,,,,,
42,44584,1981,297,249,256,285,290,248,54492,1321,363,305,313,348,354,304,49538,1651,330,277,284,317,322,276,,,,,,,,,코어 대미지,,차지 배율,,평타딜 배율,,평타딜 배율,,차지 배율,,장탄,,DEF,,받댐감,엄폐물 HP,,,,,
43,45934,2041,306,257,264,294,299,256,56142,1361,374,314,322,359,365,313,51038,1701,340,286,293,326,332,284,,,,,,,,,R,SR,R,SR,R,SR,R,SR,R,SR,R,SR,R,SR,,,,,,,
44,47284,2101,315,265,271,302,307,264,57792,1401,385,323,332,370,376,322,52538,1751,350,294,301,336,341,293,,0,19400,94000,638,3029,128,638,0.0567,0.1022,0.0158,0.0474,,0.0473,,0.0473,0.0158,0.0474,0.0156,0.0473,0.25,0.3,0.1,0.12,,,,,
45,48634,2161,324,272,279,311,316,271,59442,1441,396,333,341,380,386,331,54038,1801,360,302,310,346,351,301,,1,,,,,,,0.0567,0.1022,0.0158,0.0474,,0.0473,,0.0473,0.0158,0.0474,0.0156,0.0473,0.25,0.3,0.1,0.12,,,,,
46,49984,2221,333,280,287,320,325,279,61092,1481,407,342,350,391,397,340,55538,1851,370,311,319,355,361,310,,2,,,,,,,0.0567,0.1022,0.0158,0.0474,,0.0473,,0.0473,0.0158,0.0474,0.0156,0.0473,0.25,0.3,0.1,0.12,,,,,
47,51334,2281,342,287,295,328,334,286,62742,1521,418,351,360,401,408,350,57038,1901,380,319,327,365,371,318,,3,,,,,,,0.0567,0.1022,0.0158,0.0474,,0.0473,,0.0473,0.0158,0.0474,0.0156,0.0473,0.25,0.3,0.1,0.12,,,,,
48,52684,2341,351,295,302,337,342,294,64392,1561,429,360,369,412,419,359,58538,1951,390,328,336,374,380,326,,4,,,,,,,0.0567,0.1022,0.0158,0.0474,,0.0473,,0.0473,0.0158,0.0474,0.0156,0.0473,0.25,0.3,0.1,0.12,,,,,
49,54034,2401,360,302,310,346,351,301,66042,1601,440,370,379,422,429,368,60038,2001,400,336,344,384,390,335,,5,,149950,,4821,,1020,0.0794,0.1249,0.0316,0.0631,,0.063,,0.063,0.0316,0.0631,,0.0632,0.28,0.32,0.12,0.18,,,,,
50,55384,2461,369,310,318,354,360,309,67692,1641,451,379,388,433,440,377,61538,2051,410,344,353,394,400,343,,6,,,,,,,0.0794,0.1249,0.0316,0.0631,,0.063,,0.063,0.0316,0.0631,,0.0632,0.28,0.32,0.12,0.18,,,,,
51,56734,2521,378,317,326,363,369,316,69342,1681,462,388,398,444,451,386,63038,2101,420,353,362,403,410,351,,7,64700,,2089,,438,,0.0794,0.1249,0.0316,0.0631,,0.063,,0.063,0.0316,0.0631,,0.0632,0.28,0.32,0.12,0.18,,,,,
52,58084,2581,387,325,333,372,378,324,70992,1721,473,397,407,454,461,396,64538,2151,430,361,370,413,419,360,,8,,,,,,,0.0794,0.1249,0.0316,0.0631,,0.063,,0.063,0.0316,0.0631,,0.0632,0.28,0.32,0.12,0.18,,,,,
53,59434,2641,396,333,341,380,386,331,72642,1761,484,406,417,465,472,405,66038,2201,440,370,379,422,429,368,,9,,,,,,,0.0794,0.1249,0.0316,0.0631,,0.063,,0.063,0.0316,0.0631,,0.0632,0.28,0.32,0.12,0.18,,,,,
54,60784,2701,405,340,349,389,395,339,74292,1801,495,416,426,475,483,414,67538,2251,450,378,388,432,439,376,,10,,,,,,,0.1022,0.1477,0.0474,0.0789,0.0473,0.0788,0.0473,0.0788,0.0474,0.0789,,0.0791,0.3,0.35,0.14,0.24,,,,,
55,62134,2761,414,348,357,397,404,346,75942,1841,506,425,436,486,494,423,69038,2301,460,386,396,442,449,385,,11,,235200,,7554,,1603,0.1022,0.1477,0.0474,0.0789,0.0473,0.0788,0.0473,0.0788,0.0474,0.0789,,0.0791,0.3,0.35,0.14,0.24,,,,,
56,63484,2821,423,355,364,406,413,354,77592,1881,517,434,445,496,504,432,70538,2351,470,395,405,451,458,393,,12,,,,,,,0.1022,0.1477,0.0474,0.0789,0.0473,0.0788,0.0473,0.0788,0.0474,0.0789,,0.0791,0.3,0.35,0.14,0.24,,,,,
57,64834,2881,432,363,372,415,421,361,79242,1921,528,443,455,507,515,442,72038,2401,480,403,413,461,468,402,,13,,,,,,,0.1022,0.1477,0.0474,0.0789,0.0473,0.0788,0.0473,0.0788,0.0474,0.0789,,0.0791,0.3,0.35,0.14,0.24,,,,,
58,66184,2941,441,370,380,423,430,369,80892,1961,539,453,464,517,526,451,73538,2451,490,412,422,470,478,410,,14,,,,,,,0.1022,0.1477,0.0474,0.0789,0.0473,0.0788,0.0473,0.0788,0.0474,0.0789,,0.0791,0.3,0.35,0.14,0.24,,,,,
59,67534,3001,450,378,388,432,439,376,82542,2001,550,462,474,528,537,460,75038,2501,500,420,431,480,488,418,,15,,301800,,9688,,2058,0.1249,0.1704,0.0631,0.0947,0.063,0.0946,0.063,0.0946,0.0631,0.0947,0.0632,0.095,0.32,0.37,0.17,0.3,,,,,
60,68884,3061,459,385,395,441,448,384,84192,2041,561,471,483,539,547,469,76538,2551,510,428,439,490,498,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,72329,3215,482,405,415,463,471,404,88402,2143,590,495,508,566,575,493,80365,2679,536,450,462,515,523,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,73679,3275,491,413,423,472,479,411,90052,2183,601,504,517,577,586,502,81865,2729,546,459,470,524,533,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,75029,3335,500,420,431,480,488,419,91702,2223,612,514,527,587,597,512,83365,2779,556,467,479,534,542,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,76379,3395,509,428,439,489,497,426,93352,2263,623,523,536,598,607,521,84865,2829,566,475,487,543,552,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,77729,3455,518,435,446,498,506,434,95002,2303,634,532,546,608,618,530,86365,2879,576,484,496,553,562,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,79079,3515,527,443,454,506,514,441,96652,2343,645,541,555,619,629,539,87865,2929,586,492,505,563,572,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,80429,3575,536,450,462,515,523,449,98302,2383,656,551,565,629,640,548,89365,2979,596,501,513,572,581,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,81779,3635,545,458,470,524,532,456,99952,2423,667,560,574,640,650,558,90865,3029,606,509,522,582,591,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,83129,3695,554,466,477,532,541,464,101602,2463,678,569,583,651,661,567,92365,3079,616,517,530,591,601,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,84479,3755,563,473,485,541,550,471,103252,2503,689,578,593,661,672,576,93865,3129,626,526,539,601,611,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,85829,3815,572,481,493,550,558,479,104902,2543,700,588,602,672,682,585,95365,3179,636,534,548,611,620,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,87179,3875,581,488,501,558,567,486,106552,2583,711,597,612,682,693,594,96865,3229,646,543,556,620,630,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,88529,3935,590,496,508,567,576,494,108202,2623,722,606,621,693,704,604,98365,3279,656,551,565,630,640,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,89879,3995,599,503,516,575,585,501,109852,2663,733,615,631,703,715,613,99865,3329,666,559,574,639,650,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,91229,4055,608,511,524,584,594,509,111502,2703,744,624,640,714,725,622,101365,3379,676,568,582,649,659,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,92579,4115,617,518,532,593,602,516,113152,2743,755,634,650,724,736,631,102865,3429,686,576,591,659,669,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,93929,4175,626,526,539,601,611,524,114802,2783,766,643,659,735,747,640,104365,3479,696,585,599,668,679,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,95279,4235,635,534,547,610,620,532,116452,2823,777,652,669,746,758,650,105865,3529,706,593,608,678,689,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,96629,4295,644,541,555,619,629,539,118102,2863,788,661,678,756,768,659,107365,3579,716,601,617,687,698,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,97979,4355,653,549,563,627,637,547,119752,2903,799,671,688,767,779,668,108865,3629,726,610,625,697,708,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,102877,4572,686,576,591,658,669,574,125739,3048,838,704,722,805,818,701,114308,3810,762,640,656,732,743,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,104902,4662,699,587,602,671,682,585,128214,3108,855,718,736,821,834,715,116558,3885,777,653,669,746,758,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,106927,4752,713,599,614,684,695,596,130689,3168,871,732,750,836,850,729,118808,3960,792,665,682,760,773,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,108952,4842,726,610,625,697,709,608,133164,3228,888,745,764,852,866,743,121058,4035,807,678,695,775,787,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,110977,4932,740,621,637,710,722,619,135639,3288,904,759,779,868,882,756,123308,4110,822,690,708,789,802,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,113002,5022,753,633,649,723,735,630,138114,3348,921,773,793,884,898,770,125558,4185,837,703,721,804,817,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,115027,5112,767,644,660,736,748,641,140589,3408,937,787,807,900,914,784,127808,4260,852,716,734,818,831,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,117052,5202,780,655,672,749,761,653,143064,3468,954,801,821,916,930,798,130058,4335,867,728,747,832,846,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,119077,5292,794,667,684,762,774,664,145539,3528,970,815,835,931,946,812,132308,4410,882,741,760,847,860,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,121102,5382,807,678,695,775,788,675,148014,3588,987,829,850,947,963,825,134558,4485,897,753,772,861,875,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,123127,5472,821,689,707,788,801,687,150489,3648,1003,842,864,963,979,839,136808,4560,912,766,785,876,890,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,125152,5562,834,701,718,801,814,698,152964,3708,1020,856,878,979,995,853,139058,4635,927,778,798,890,904,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,127177,5652,848,712,730,814,827,709,155439,3768,1036,870,892,995,1011,867,141308,4710,942,791,811,904,919,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,129202,5742,861,723,742,827,840,721,157914,3828,1053,884,906,1011,1027,881,143558,4785,957,804,824,919,934,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,131227,5832,875,735,753,840,853,732,160389,3888,1069,898,921,1026,1043,894,145808,4860,972,816,837,933,948,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,133252,5922,888,746,765,853,867,743,162864,3948,1086,912,935,1042,1059,908,148058,4935,987,829,850,948,963,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,135277,6012,902,757,777,866,880,754,165339,4008,1102,926,949,1058,1075,922,150308,5010,1002,841,863,962,977,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,137302,6102,915,769,788,879,893,766,167814,4068,1119,939,963,1074,1091,936,152558,5085,1017,854,876,976,992,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,139327,6192,929,780,800,892,906,777,170289,4128,1135,953,978,1090,1107,950,154808,5160,1032,867,889,991,1007,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,141352,6282,942,791,811,905,919,788,172764,4188,1152,967,992,1106,1124,963,157058,5235,1047,879,902,1005,1021,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,148420,6596,989,831,852,950,965,827,181402,4398,1209,1015,1041,1161,1179,1011,164911,5497,1099,923,946,1055,1072,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,150445,6686,1003,842,863,963,978,839,183877,4458,1225,1029,1055,1176,1195,1025,167161,5572,1114,936,959,1069,1087,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,152470,6776,1016,853,875,975,991,850,186352,4518,1242,1043,1069,1192,1212,1039,169411,5647,1129,948,972,1084,1101,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,154495,6866,1030,865,887,988,1004,861,188827,4578,1258,1057,1084,1208,1228,1053,171661,5722,1144,961,985,1098,1116,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,156520,6956,1043,876,898,1001,1018,873,191302,4638,1275,1071,1098,1224,1244,1067,173911,5797,1159,973,998,1113,1131,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,158545,7046,1057,887,910,1014,1031,884,193777,4698,1291,1085,1112,1240,1260,1080,176161,5872,1174,986,1011,1127,1145,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,160570,7136,1070,899,921,1027,1044,895,196252,4758,1308,1098,1126,1256,1276,1094,178411,5947,1189,999,1024,1141,1160,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,162595,7226,1084,910,933,1040,1057,906,198727,4818,1324,1112,1140,1271,1292,1108,180661,6022,1204,1011,1037,1156,1175,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,164620,7316,1097,921,945,1053,1070,918,201202,4878,1341,1126,1155,1287,1308,1122,182911,6097,1219,1024,1050,1170,1189,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,166645,7406,1111,933,956,1066,1083,929,203677,4938,1357,1140,1169,1303,1324,1136,185161,6172,1234,1036,1063,1185,1204,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,168670,7496,1124,944,968,1079,1097,940,206152,4998,1374,1154,1183,1319,1340,1149,187411,6247,1249,1049,1076,1199,1218,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,170695,7586,1138,955,980,1092,1110,952,208627,5058,1390,1168,1197,1335,1356,1163,189661,6322,1264,1062,1088,1213,1233,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,172720,7676,1151,967,991,1105,1123,963,211102,5118,1407,1182,1211,1351,1372,1177,191911,6397,1279,1074,1101,1228,1248,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,174745,7766,1165,978,1003,1118,1136,974,213577,5178,1423,1195,1226,1367,1389,1191,194161,6472,1294,1087,1114,1242,1262,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,176770,7856,1178,989,1014,1131,1149,986,216052,5238,1440,1209,1240,1382,1405,1205,196411,6547,1309,1099,1127,1257,1277,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,178795,7946,1192,1001,1026,1144,1162,997,218527,5298,1456,1223,1254,1398,1421,1218,198661,6622,1324,1112,1140,1271,1292,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,180820,8036,1205,1012,1038,1157,1176,1008,221002,5358,1473,1237,1268,1414,1437,1232,200911,6697,1339,1124,1153,1285,1306,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,182845,8126,1219,1023,1049,1170,1189,1019,223477,5418,1489,1251,1283,1430,1453,1246,203161,6772,1354,1137,1166,1300,1321,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,184870,8216,1232,1035,1061,1183,1202,1031,225952,5478,1506,1265,1297,1446,1469,1260,205411,6847,1369,1150,1179,1314,1335,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,186895,8306,1246,1046,1073,1196,1215,1042,228427,5538,1522,1279,1311,1462,1485,1274,207661,6922,1384,1162,1192,1329,1350,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,196240,8722,1308,1098,1126,1255,1276,1094,239848,5814,1598,1342,1376,1534,1559,1337,218044,7268,1453,1220,1251,1395,1417,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,198940,8842,1326,1113,1142,1273,1293,1109,243148,5894,1620,1361,1395,1556,1581,1355,221044,7368,1473,1237,1268,1414,1437,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,201640,8962,1344,1128,1157,1290,1311,1124,246448,5974,1642,1379,1414,1577,1602,1374,224044,7468,1493,1254,1286,1433,1456,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,204340,9082,1362,1144,1173,1307,1328,1139,249748,6054,1664,1398,1433,1598,1624,1392,227044,7568,1513,1271,1303,1453,1476,1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,207040,9202,1380,1159,1188,1325,1346,1154,253048,6134,1686,1416,1452,1619,1645,1411,230044,7668,1533,1287,1320,1472,1495,1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,209740,9322,1398,1174,1204,1342,1363,1169,256348,6214,1708,1435,1471,1640,1666,1429,233044,7768,1553,1304,1337,1491,1515,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,212440,9442,1416,1189,1219,1359,1381,1184,259648,6294,1730,1453,1490,1661,1688,1447,236044,7868,1573,1321,1355,1510,1535,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,215140,9562,1434,1204,1235,1376,1399,1199,262948,6374,1752,1472,1509,1682,1709,1466,239044,7968,1593,1338,1372,1529,1554,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,217840,9682,1452,1219,1250,1394,1416,1214,266248,6454,1774,1490,1528,1703,1731,1484,242044,8068,1613,1355,1389,1549,1574,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
